Rank,Title,Year,Rating,Weight,Type,Min Players,Max Players,Community Player Count Min,Community Player Count Max,Community Best Player Count Min,Community Best Player Count Max,Playing Time Min,Playing Time Max,Age,Community Age,Designers,Artists,Categories
203,Jaipur,2009,7.48083,1.4642,Family Game(37),2,2,2,2,2,2,30,30,10,8,Sébastien Pauchon,Vincent Dutrait; Alexandre Roche,Arabian; Card Game; Economic
204,Great Western Trail: Argentina,2022,8.22208,3.9198,Strategy Game(105),1,4,1,4,3,3,75,150,12,12,Alexander Pfister,Chris Quilliams,Animals
205,Earth,2023,7.62501,2.908,Strategy Game(160),1,5,1,4,2,3,45,90,13,12,Maxime Tardif,M81 Studio; Conor McGoey; Yulia Sozonik; Kenneth Spond,Animals; Card Game; Environmental
206,Radlands,2021,7.75072,2.2548,Strategy Game(154),2,2,2,2,2,2,20,40,14,12,Daniel Piechnick,Delia Arnone; Lina Cossette; Damien Mammoliti; Manny Trembley,Card Game; Fighting; Science Fiction
207,Dune,2019,7.92046,3.9779,"Thematic(49), Strategy Game(151)",2,6,5,6,6,6,120,180,14,14,Bill Eberle; Jack Kittredge; Peter Olotka,Ilya Baranovsky,Bluffing; Fighting; Negotiation; Novel-based; Political; Science Fiction; Wargame
208,Welcome to the Moon,2021,7.86562,2.4648,"Thematic(44), Family Game(25)",1,6,1,6,1,4,25,30,10,10,Alexis Allard; Benoit Turpin,Anne Heidsieck,City Building; Science Fiction
209,Welcome To...,2018,7.50949,1.8402,Family Game(36),1,100,1,10,3,4,25,25,10,10,Benoit Turpin,Anne Heidsieck,City Building
210,7 Wonders (Second Edition),2020,7.82752,2.2744,"Strategy Game(164), Family Game(27)",3,7,3,7,4,5,30,30,10,10,Antoine Bauza,Miguel Coimbra,Ancient; Card Game; City Building; Civilization; Economic
211,The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game,2024,7.96623,1.9635,Family Game(24),1,4,1,4,4,4,20,20,10,10,Bryan Bornmueller,Elaine Ryan; Samuel R. Shimota,Adventure; Card Game; Fantasy; Novel-based
212,This War of Mine: The Board Game,2017,7.76156,3.3308,Thematic(52),1,6,1,3,1,1,45,120,18,16,Michał Oracz; Jakub Wiśniewski,Piotr Gacek; Maszrum; Paweł Niziołek; Michał Oracz; Jakub Wiśniewski,Adventure; Exploration; Mature / Adult; Modern Warfare; Video Game Theme
213,John Company: Second Edition,2022,8.25959,4.4633,"Thematic(33), Strategy Game(121)",1,6,1,6,4,5,90,240,13,16,Cole Wehrle,Jan Lipiński; Amita Pai,Economic; Educational; Negotiation; Political
214,War of the Ring,2004,7.78263,3.8478,"War Game(21), Thematic(42)",2,4,2,2,2,2,120,120,12,14,Roberto Di Meglio; Marco Maggi; Francesco Nepitello,John Howe; Matteo Macchi; Fabio Maiorana; Mizio Mencarini; Bob Naismith,Adventure; Fantasy; Fighting; Novel-based; Territory Building; Wargame
215,Chaos in the Old World,2009,7.65875,3.1981,"Thematic(50), Strategy Game(156)",3,4,3,4,4,4,60,120,13,14,Eric M. Lang,Tim Arney-O'Neil; Kevin Childress; Andrew Navaro; Brian Schomburg; WiL Springer,Fantasy; Fighting; Horror; Mythology; Wargame
216,Meadow,2021,7.70822,2.2585,"Strategy Game(157), Family Game(30)",1,4,1,3,2,2,60,90,10,10,Klemens Kalicki,Karolina Kijak; Katarzyna Fiebiger,Animals; Card Game; Environmental; Puzzle
217,Memoir '44,2004,7.53293,2.2731,War Game(67),2,4,2,2,2,2,30,45,8,8,Richard Borg,Cyrille Daujean; Julien Delval; Yannick Hennebo; Adrien Martinot; Don Perrin; Claude Rica; Caroline Sébayhi,Miniatures; Wargame; World War II
218,The Red Cathedral,2020,7.66796,2.8154,Strategy Game(162),1,4,1,4,3,3,80,80,10,12,Isra C.; Shei S.,Chema Román; Pedro Soto,Dice; Economic
219,Civolution,2024,8.19403,4.2227,Strategy Game(122),1,4,1,3,2,3,90,180,14,14,Stefan Feld,Dennis Lohausen,Civilization; Dice; Economic; Exploration; Science Fiction
220,Modern Art,1992,7.5219,2.2794,Strategy Game(166),3,5,3,5,4,5,45,45,10,10,Reiner Knizia,Carole Carrion; Manuel Carvalho; Chen Cheng-po; Mike Doyle (I); Pete Fenlon; Gianfranco Giordano; Paul Laane; Ramon Martins; Daniel Melim; Rafael Silveira; Sigrid Thaler; Zeilbeck & Natzeck Design Company,Card Game; Economic
221,Sagrada,2017,7.469,1.9188,"Abstract Game(11), Family Game(43)",1,4,1,4,2,2,30,45,14,8,Adrian Adamescu; Daryl Andrews,Peter Wocken,Dice; Puzzle
222,Descent: Journeys in the Dark (Second Edition),2012,7.60387,3.2157,Thematic(62),1,5,2,5,5,5,120,120,14,12,Daniel Clark (I); Corey Konieczka; Adam Sadler; Kevin Wilson,Alex Aparin; Devon Caddy-Lee; Sylvain Decaux; Tod Gelle; Charlène le Scanff; Thomas Lishman; Henning Ludvigsen; Dallas Mehlhoff; Sandara Tang; Allison Theus,Adventure; Exploration; Fantasy; Fighting; Miniatures
223,Space Base,2018,7.53944,2.1319,Family Game(39),2,5,2,5,3,4,60,60,14,10,John D. Clair,Chris Walton,Dice; Science Fiction; Space Exploration
224,Star Wars: The Deckbuilding Game,2023,7.81693,2.0375,Strategy Game(159),2,2,2,2,2,2,30,90,12,10,Caleb Grace,Jake Murray; David Ardila; Borja Pindado Arribas; Cristi Balanescu; Tiziano Baracchi; Colin Boyer; Matt Bradbury; Mark Bulahao; Rovina Cai; J. B. Casacop; Alexandre Dainche; Anthony Devine; Alexandr Elichev; Mariusz Gandzel; Sergey Glushakov; Steven Hamilton; Joel Hustak; Imaginary Studios; Nick Ingeneri; Michal Ivan; Tomasz Jedruszek; Jason Juta; Alex Kim; Leonid Kozienko; Raven Mimura; Mark Molnar; Ameen Naksewee; Vlad Ricean; Adam Schumpert; Stephen Somers; Darren Tan; Ryan Valle; Magali Villeneuve; Andreas Zafiratos; Ben Zweifel,Card Game; Fighting; Movies / TV / Radio theme; Science Fiction
225,Sekigahara: The Unification of Japan,2011,7.99123,2.802,War Game(8),2,2,2,2,2,2,180,180,14,12,Matt Calkins,Rodger B. MacGowan; Mark Mahaffey,Civil War; Pike and Shot; Wargame
226,Return to Dark Tower,2022,8.20613,2.65,Thematic(34),1,4,1,4,4,4,100,120,10,10,Tim Burrell-Saward; Isaac Childres; Noah Cohen; Rob Daviau; Justin D. Jacobson; Brian Neff,JJ Ariosa; James Bousema; Tim Burrell-Saward; Lindsay Daviau; Hakan Diniz; Chad Hoverter; Garrett Kaida; Qistina Khalidah; Jason D. Kingsley; Punga Miniatures; Jason Taylor,Adventure; Electronic; Fantasy; Fighting
227,Cosmic Encounter,2008,7.50708,2.581,"Thematic(75), Strategy Game(202)",3,5,4,5,5,5,60,120,12,12,Bill Eberle; Jack Kittredge; Bill Norton; Peter Olotka; Kevin Wilson,Andrew Navaro; Ryan Barger; Felicia Cano; Sabe Lewellyn; Brian Schomburg; WiL Springer,Bluffing; Negotiation; Science Fiction; Space Exploration
228,Castles of Mad King Ludwig,2014,7.50265,2.6473,Strategy Game(176),1,4,2,4,4,4,90,90,13,10,Ted Alspach,Ted Alspach; Keith Curtis; Agnieszka Dabrowiecka; Ollin Timm,Post-Napoleonic; Puzzle
229,Paleo,2020,7.65424,2.6578,"Thematic(59), Strategy Game(177)",2,4,1,4,2,3,45,60,10,10,Peter Rustemeyer,Dominik Mayer; Ingram Schell; Franz-Georg Stämmele,Card Game; Exploration; Prehistoric
230,The Resistance: Avalon,2012,7.49559,1.7385,Party Game(14),5,10,5,10,7,8,30,30,13,12,Don Eskridge,Luis Francisco; George Patsouras; Nan Sumana; Rafał Szyma; Marco Turini,Bluffing; Card Game; Deduction; Fantasy; Medieval; Negotiation; Party Game; Spies / Secret Agents
231,Go,-2200,7.65735,3.913,Abstract Game(16),2,2,2,2,2,2,30,180,8,8,(Uncredited),Barbro Hennius; Norman Sommer,Abstract Strategy
232,A Game of Thrones: The Board Game (Second Edition),2011,7.52941,3.7371,Strategy Game(205),3,6,4,6,6,6,120,240,14,14,Christian T. Petersen,Heiko Eller; Tomasz Jedruszek; Henning Ludvigsen,Bluffing; Fantasy; Negotiation; Novel-based; Political; Wargame
233,Clash of Cultures: Monumental Edition,2021,8.26321,3.7354,Strategy Game(128),2,4,2,4,3,4,180,240,14,14,Christian Marcussen,Gong Studios; Michael Komarck; Nakarin Sukontakorn,Ancient; City Building; Civilization; Economic; Territory Building
234,Ticket to Ride: Nordic Countries,2007,7.62295,1.9647,Family Game(38),2,3,2,3,3,3,30,60,8,8,Alan R. Moon,Cyrille Daujean; Julien Delval,Trains
235,Azul: Summer Pavilion,2019,7.57212,2.0745,"Abstract Game(8), Family Game(40)",2,4,2,4,2,3,30,45,8,8,Michael Kiesling,Chris Quilliams,Abstract Strategy; Puzzle
236,Railways of the World,2005,7.66297,3.015,Strategy Game(161),2,6,3,6,5,6,120,120,10,12,Glenn Drover; Martin Wallace,Kurt Miller; Paul Niemeyer; David Oram,Trains; Transportation; Video Game Theme
237,Horrified,2019,7.59644,2.0178,"Thematic(64), Family Game(44)",1,5,1,5,3,3,60,60,10,8,Prospero Hall; Peter Lee,Prospero Hall,Horror; Movies / TV / Radio theme
238,Carcassonne,2000,7.4152,1.8857,Family Game(54),2,5,2,5,2,3,30,45,7,8,Klaus-Jürgen Wrede,Marcel Gröber; Doris Matthäus; Anne Pätzke; Chris Quilliams; Franz-Georg Stämmele,Medieval; Territory Building
239,Ora et Labora,2011,7.67699,3.8878,Strategy Game(155),1,4,1,4,3,3,60,180,13,12,Uwe Rosenberg,Klemens Franz,City Building; Economic; Industry / Manufacturing; Medieval; Religious; Territory Building
240,Thunder Road: Vendetta,2023,7.91044,1.9857,Thematic(45),2,4,3,4,4,4,45,75,10,8,Dave Chalker; Brett Myers; Noah Cohen; Rob Daviau; Justin D. Jacobson; Jim Keifer; Brian Neff,Marie Bergeron; Garrett Kaida,Dice; Fighting; Miniatures; Racing
241,Splendor,2014,7.41893,1.7763,Family Game(53),2,4,2,4,3,3,30,30,10,8,Marc André,Pascal Quidault; Paul Vérité,Card Game; Economic; Renaissance
242,Captain Sonar,2016,7.50189,2.1953,"Thematic(67), Party Game(11)",2,8,6,8,8,8,45,60,14,12,Roberto Fraga; Yohan Lemonnier,Ervin; Piotr Forkasiewicz; Sabrina Tobal,Deduction; Fighting; Modern Warfare; Nautical; Real-time
243,Vantage,2025,8.29313,2.3318,Thematic(46),1,6,1,3,1,2,120,180,14,8,Jamey Stegmaier,Valentina Filic; Sören Meding; Emilien Rotival,Adventure; Exploration; Fantasy; Science Fiction
244,Village,2011,7.48479,3.06,Strategy Game(185),2,4,2,4,4,4,60,90,12,12,Inka Brand; Markus Brand,Dennis Lohausen,Economic; Farming; Medieval
245,Suburbia,2012,7.45785,2.7584,Strategy Game(192),1,4,1,4,3,3,60,90,8,10,Ted Alspach,Ted Alspach; Jason Boles; Klemens Franz; Stephanie Gustafsson; Alanna Kelsey; Brett Stebbins; T. B. (II); Ollin Timm,City Building; Economic
246,Commands & Colors: Ancients,2006,7.77859,2.6875,War Game(22),2,2,2,2,2,2,60,60,12,12,Richard Borg,Rodger B. MacGowan,Ancient; Wargame
247,Ankh: Gods of Egypt,2021,7.73808,3.1279,Strategy Game(168),2,5,2,5,2,4,90,90,14,12,Eric M. Lang,Nicolas Fructus; Thierry Masson; Adrian Smith,Ancient; Fantasy; Fighting; Mythology
248,Tichu,1991,7.57384,2.3424,Strategy Game(180),4,4,4,4,4,4,60,60,10,12,Urs Hostettler,Kerri Aitken; Christine Alcouffe; Res Brandenberger; François Bruel; Philippe Guérin; Urs Hostettler; Chris Quilliams; Eduardo M. Dos Reis; Valerie Vekemans; Franz Vohwinkel,Card Game
249,The Taverns of Tiefenthal,2019,7.57359,2.6925,Strategy Game(188),2,4,2,4,2,3,60,60,12,10,Wolfgang Warsch,Dennis Lohausen,Card Game; Dice; Medieval
250,Dead of Winter: A Crossroads Game,2014,7.44183,3.0144,Thematic(84),2,5,3,5,4,4,60,120,13,12,Jonathan Gilmour-Long; Isaac Vega,David Richards; Fernanda Suárez; Peter Wocken,Bluffing; Deduction; Horror; Science Fiction; Zombies
251,Aeon's End: Legacy,2019,8.03484,2.8667,Strategy Game(147),1,4,1,4,2,2,45,90,14,10,Jenny Iglesias; Nick Little (I); Kevin Riley,Daniel Solis,Card Game; Fantasy; Science Fiction
252,Nidavellir,2020,7.55555,2.1188,Strategy Game(183),2,5,2,5,3,3,45,45,10,10,Serge Laget,Jean-Marie Minguez,Card Game; Fantasy; Mythology
253,Castle Combo,2024,7.66743,1.731,Family Game(41),2,5,2,4,2,2,10,25,10,8,Grégory Grard; Mathieu Roussel,Stéphane Escapa,Card Game; Medieval
254,YINSH,2003,7.70674,2.6333,Abstract Game(4),2,2,2,2,2,2,30,60,9,8,Kris Burm,Kris Burm; lu'cifer,Abstract Strategy
255,KLASK,2014,7.62773,1.0466,"Party Game(8), Family Game(42)",2,2,2,2,2,2,10,10,8,6,Mikkel Bertelsen,Mikkel Bertelsen,Action / Dexterity; Real-time
256,Ticket to Ride,2004,7.38663,1.8212,Family Game(59),2,5,2,5,4,4,30,60,8,8,Alan R. Moon,Cyrille Daujean; Julien Delval; Fajareka Setiawan; Régis Torres,Trains
257,Star Realms: Colony Wars,2015,7.7811,1.8846,Strategy Game(175),2,2,2,2,2,2,20,20,12,8,Robert Dougherty; Darwin Kastle,Vito Gesualdi,Card Game; Fighting; Science Fiction
258,Coimbra,2018,7.6001,3.2444,Strategy Game(173),2,4,2,4,3,3,60,90,14,12,Flaminia Brasini; Virginio Gigli,Chris Quilliams,Dice; Renaissance
259,Faraway,2023,7.55241,1.9208,Family Game(46),2,6,2,5,2,3,15,30,10,10,Johannes Goupy; Corentin Lebrat,Maxime Morin,Card Game; Fantasy; Puzzle
260,Paths of Glory,1999,8.06929,3.8614,War Game(3),2,2,2,2,2,2,480,480,14,14,Ted Raicer,Charles Kibler; Terry Leeds; Rodger B. MacGowan; Mark Simonitch,Wargame; World War I
261,Under Falling Skies,2020,7.60478,2.4024,Strategy Game(200),1,1,1,1,1,1,20,40,12,10,Tomáš Uhlíř,Petr Boháček; Kwanchai Moriya,Dice; Science Fiction
262,Secret Hitler,2016,7.48915,1.7396,Party Game(22),5,10,6,10,8,10,45,45,13,12,Mike Boxleiter; Tommy Maranges; Max Temkin,Mackenzie Schubert,Bluffing; Card Game; Deduction; Humor; Party Game; Political; Print & Play; Spies / Secret Agents
263,My City,2020,7.58819,1.9888,"Strategy Game(193), Family Game(45)",2,4,2,4,4,4,30,30,10,8,Reiner Knizia,Michael Menzel,City Building
264,Calico,2020,7.4904,2.1987,"Abstract Game(13), Family Game(51)",1,4,1,4,2,2,30,45,10,10,Kevin Russ,Beth Sobel,Animals; Puzzle
265,Camel Up (Second Edition),2018,7.54638,1.5108,"Party Game(10), Family Game(48)",3,8,3,8,5,6,30,45,8,8,Steffen Bogen,Chris Quilliams,Animals; Arabian; Dice; Racing
266,Nations,2013,7.59215,3.5401,Strategy Game(179),1,5,1,4,3,4,40,200,14,14,Rustan Håkansson; Nina Håkansson; Einar Rosén; Robert Rosén,Ossi Hiekkala; Jere Kasanen; Paul Laane; Frida Lögdberg,Card Game; Civilization; Economic
267,Cyclades,2009,7.49186,2.8176,Strategy Game(212),2,5,3,5,4,5,60,90,13,12,Bruno Cathala; Ludovic Maublanc,Miguel Coimbra,Ancient; City Building; Civilization; Fighting; Mythology; Nautical
268,Sea Salt & Paper,2022,7.5049,1.4777,Family Game(52),2,4,2,4,2,2,30,45,8,8,Bruno Cathala; Théo Rivière,Lucien Derainne; Pierre-Yves Gallard,Animals; Card Game
269,Fantasy Realms,2017,7.50524,1.8103,Family Game(50),2,6,2,5,2,3,20,20,14,10,Bruce Glassco,Anthony Cournoyer; Octographics,Card Game; Fantasy
270,Codenames: Duet,2017,7.41204,1.3598,"Party Game(9), Family Game(55)",2,2,2,2,2,2,15,30,11,12,Vlaada Chvátil; Scot Eaton,Štěpán Drašťák; Dávid Jablonovský; Tomáš Kučerovský,Card Game; Deduction; Spies / Secret Agents; Word Game
271,Near and Far,2017,7.64388,2.8938,Thematic(60),2,4,2,4,3,3,90,120,13,12,Ryan Laukat,Ryan Laukat,Adventure; Exploration; Fantasy; Fighting
272,Combat Commander: Europe,2006,7.9544,3.2612,War Game(11),2,2,2,2,2,2,60,180,12,12,Chad Jensen,Lee Brimmicombe-Wood; Chad Jensen; Rodger B. MacGowan; Leland Myrick; Mark Simonitch,Wargame; World War II
273,La Granja,2014,7.59019,3.5699,Strategy Game(186),1,4,1,4,3,4,90,120,12,12,Michael Keller (II); Andreas Odendahl,Harald Lieske,Economic; Farming
274,The Elder Scrolls: Betrayal of the Second Era,2025,8.93815,4.0456,Thematic(24),1,4,1,3,2,2,120,240,14,14,Josh J. Carlson; Michael Gernes; Logan Giannini; Ryan Howard; Salem Scott; Josh Wielgus,Chris Beck; Yoann Boissonnet; Anthony LeTourneau; Federico Pompili,Adventure; Dice; Exploration; Fantasy; Video Game Theme
275,Dinosaur Island,2017,7.53414,3.045,Strategy Game(214),1,4,1,4,3,4,90,120,8,12,Jonathan Gilmour-Long; Brian Lewis,Kwanchai Moriya; Anthony Wocken,Animals; Economic; Science Fiction
276,So Clover!,2021,7.59341,1.1204,Party Game(6),3,6,2,6,3,4,30,30,10,10,François Romain,(Uncredited),Party Game; Word Game
277,Century: Golem Edition,2017,7.57846,1.7168,"Strategy Game(218), Family Game(49)",2,5,2,5,3,4,30,45,8,8,Emerson Matsuuchi,Justin Chan; Chris Quilliams,Card Game; Economic; Fantasy
278,Legendary: A Marvel Deck Building Game,2012,7.51977,2.4354,Thematic(83),1,5,1,4,3,3,30,60,14,10,Devin Low,Julius Abrea; Will Conrad; Bien Flores; Katrina Mae Hao; Ray Anthony Height; Tony Kordos; The Marvel Bullpen; Jay David Ramos; Nigel Raynor; Kevin Sharpe; Brian “Tots” Valerz,Card Game; Comic Book / Strip
279,Hanamikoji,2013,7.45401,1.6745,Family Game(57),2,2,2,2,2,2,15,15,10,8,Kota Nakayama (中山 宏太),Maisherly Chan; Mashiro Misaki,Card Game; Medieval
280,Samurai,1998,7.48265,2.4412,Strategy Game(209),2,4,2,4,3,3,30,60,10,10,Reiner Knizia,Miguel Valenzuela Beltrán; Franz Vohwinkel; 徐昀享 (Xu Yunxiang); 李小娜 (LI Xiaona); 杨静雯 (Yang Jingwen); 谢有鑫 (Xie Youxin); 郭紫颖 (Guo Ziying); 陈杰 (Chen Jie),Abstract Strategy; Medieval
281,Distilled,2023,7.7656,3.0326,Strategy Game(187),1,5,1,4,3,3,30,150,14,12,Dave Beck,Erik Evensen,Card Game; Economic; Industry / Manufacturing; Print & Play
282,Western Legends,2018,7.60411,2.8474,Thematic(66),2,6,3,5,4,4,60,90,14,12,Hervé Lemaître,Roland MacDonald,Adventure; American West
283,MicroMacro: Crime City,2020,7.45581,1.1007,Family Game(56),1,4,1,3,2,2,15,45,12,8,Johannes Sich,Daniel Goll; Tobias Jochinke; Johannes Sich,Deduction; Murder / Mystery
284,Deception: Murder in Hong Kong,2014,7.42315,1.5884,Party Game(16),4,12,5,11,6,8,20,20,14,12,Tobey Ho,Marcin Adamski; Ben Carre; Tommy Ng; Ari Wong,Bluffing; Deduction; Murder / Mystery; Party Game
285,Sushi Go Party!,2016,7.37534,1.3214,Family Game(67),2,8,3,8,4,5,20,20,8,8,Phil Walker-Harding,Nan Rangsima,Card Game; Party Game
286,Zombicide: Black Plague,2015,7.60121,2.4761,Thematic(79),1,6,1,6,3,6,60,180,14,10,Raphaël Guiton; Jean-Baptiste Lullien; Nicolas Raoult,Nicolas Fructus; Jérémy Masson,Adventure; Fantasy; Fighting; Horror; Medieval; Miniatures; Zombies
287,Flamme Rouge,2016,7.47783,1.7,Family Game(60),2,4,2,4,4,4,30,45,8,8,Asger Aleksandrov Granerud,Ossi Hiekkala; Jere Kasanen,Racing; Sports
288,"Unmatched: Battle of Legends, Volume One",2019,7.68562,1.9397,Strategy Game(219),2,4,2,4,2,2,20,40,9,10,Rob Daviau; Justin D. Jacobson,Oliver Barrett; Alexander Wells,Card Game; Fantasy; Fighting; Mythology; Novel-based
289,Isle of Skye: From Chieftain to King,2015,7.3893,2.2535,"Strategy Game(228), Family Game(62)",2,5,2,5,3,4,30,50,8,8,Andreas Pelikan; Alexander Pfister,Klemens Franz,Economic; Territory Building
290,Glory to Rome,2005,7.49474,2.9328,Strategy Game(207),2,5,2,5,3,4,60,60,12,12,Ed Carter (III); Carl Chudyk,Ed Carter (III); Valerio Cioni; Klemens Franz; Felix Girke; Heiko Günther; Igor Wolski,Ancient; Card Game; City Building; Economic
291,Tiletum,2022,7.86156,3.3903,Strategy Game(167),1,4,1,3,2,3,60,100,14,14,Simone Luciani; Daniele Tascini,Giorgio De Michele; Zbigniew Umgelter,Renaissance
292,Vindication,2018,7.76757,3.0927,Strategy Game(189),2,5,2,5,4,4,45,150,14,12,Marc Neidlinger,Brett Carville; Emiliano Cordoba; Bartek Fedyczak; Noemi Konkoly; Phu Thieu,Exploration; Fantasy
293,Roll Player,2016,7.42241,2.4243,Strategy Game(231),1,4,1,4,3,3,60,90,10,10,Keith Matejka,JJ Ariosa; Vincent Dutrait; Luis Francisco,Dice; Fantasy; Medieval
294,Hallertau,2020,7.82538,3.2816,Strategy Game(170),1,4,1,4,2,2,50,140,12,12,Uwe Rosenberg,Lukas Siegmon,Animals; Economic; Farming; Industry / Manufacturing; Post-Napoleonic
295,The Princes of Florence,2000,7.49427,3.2413,Strategy Game(213),1,5,3,5,5,5,75,100,12,12,Wolfgang Kramer; Richard Ulrich; Jens Christopher Ulrich,Arnaud Demaegd; Eckhard Freytag; Wolfgang Kramer; Mirco Paganessi; Lukas Siegmon; Richard Ulrich; Franz Vohwinkel,City Building; Renaissance
296,Tapestry,2019,7.43762,2.9696,Strategy Game(235),1,5,1,4,3,3,90,120,12,12,Jamey Stegmaier,Andrew Bosley; Rom Brown,Civilization; Territory Building
297,Anno 1800: The Board Game,2020,7.69913,3.1318,Strategy Game(190),2,4,2,4,3,3,120,120,12,12,Martin Wallace,Fiore GmbH,Card Game; City Building; Economic; Industry / Manufacturing; Napoleonic; Post-Napoleonic; Video Game Theme
298,Skull King,2013,7.53187,1.7386,Family Game(58),2,8,3,6,4,6,30,30,8,8,Brent Beck; Jeffrey Beck,David Bock; Eckhard Freytag; Apryl Stott,Card Game; Nautical; Pirates
299,Monikers,2015,7.76591,1.0928,Party Game(4),4,16,4,12,6,10,30,60,17,16,Alex Hague; Justin Vickers,Cécile Gariépy; Alex Hague,Card Game; Humor; Mature / Adult; Party Game; Print & Play
300,Dune: War for Arrakis,2024,8.48189,3.6494,"War Game(6), Thematic(35)",1,4,2,4,2,2,120,120,14,12,Marco Maggi; Francesco Nepitello,Henning Ludvigsen; Stefano Moroni; Paolo Parente; Steve Prescott,Dice; Movies / TV / Radio theme; Novel-based; Science Fiction; Wargame
301,Foundations of Rome,2022,8.03992,1.9931,Strategy Game(172),1,5,2,5,3,4,60,90,13,10,Emerson Matsuuchi,Stephen Gibson; Damien Mammoliti,Ancient; City Building; Economic
302,Pulsar 2849,2017,7.64092,3.3365,Strategy Game(198),2,4,2,4,4,4,60,90,14,14,Vladimír Suchý,Sören Meding,Dice; Science Fiction; Space Exploration
303,Bitoku,2021,7.78479,3.7664,Strategy Game(197),1,4,2,4,3,3,120,120,12,12,Germán P. Millán,Edu Valls,Fantasy; Mythology
304,Hero Realms,2016,7.49686,1.8437,Strategy Game(246),2,4,2,4,2,2,20,20,12,8,Robert Dougherty; Darwin Kastle,Randy Delven; Vito Gesualdi; Richard Hanuschek; Antonis Papantoniou,Card Game; Fantasy; Fighting
305,Goa,2004,7.5532,3.3659,Strategy Game(204),2,4,2,4,4,4,90,90,12,12,Rüdiger Dorn,Xavier Gueniffey Durin; Oliver Freudenreich,Economic; Farming; Nautical; Renaissance
306,Santorini,2016,7.33617,1.7234,Abstract Game(17),2,4,2,3,2,2,20,20,8,8,Gord!,Lina Cossette; David Forest,Abstract Strategy; Ancient; Mythology
307,Aeon's End: The New Age,2019,8.4928,2.9067,Strategy Game(152),1,4,1,4,2,2,60,60,14,12,Jenny Iglesias; Nick Little (I); Kevin Riley,Gong Studios,Card Game; Fantasy; Science Fiction
308,Kemet: Blood and Sand,2021,7.91397,3.1893,Strategy Game(182),2,5,3,5,4,4,90,180,13,10,Jacques Bariot; Guillaume Montiage,Dimitri Bielak; Émile Denis; Pascal Quidault; Pierre Santamaria,Ancient; Fighting; Mythology; Wargame
309,Kanban: Driver's Edition,2014,7.78138,4.3474,Strategy Game(181),2,4,2,4,3,4,90,120,12,14,Vital Lacerda,Naomi Robinson; William Bricker; Vital Lacerda,Economic; Industry / Manufacturing
310,1830: Railways & Robber Barons,1986,7.86634,4.1678,Strategy Game(169),2,7,3,6,4,5,180,360,14,14,Bruce Shelley; Francis Tresham,Mike Atkinson; Jared Blando; Charles Kibler; James Talbot; Mark Zug,Economic; Trains; Transportation
311,Shogun,2006,7.506,3.3645,Strategy Game(226),3,5,3,5,4,5,90,120,12,12,Dirk Henn,Michael Menzel,Economic; Medieval; Territory Building
312,Galaxy Trucker,2007,7.32538,2.329,Thematic(96),2,4,2,4,4,4,60,60,10,10,Vlaada Chvátil,Tomáš Kučerovský; Radim Pech,Real-time; Science Fiction; Space Exploration; Transportation
313,Dice Throne: Season Two – Battle Chest,2018,8.04427,2.1609,Family Game(47),2,6,2,4,2,2,20,40,8,8,Nate Chatellier; Manny Trembley,Gavan Brown; Manny Trembley,Card Game; Dice; Fantasy; Fighting
314,Viticulture,2013,7.47345,2.9479,Strategy Game(230),2,6,2,5,3,4,90,90,13,10,Jamey Stegmaier; Alan Stone,Jacqui Davis; David Montgomery; Beth Sobel,Economic; Farming
315,Apiary,2023,7.68829,3.0118,Strategy Game(211),1,5,1,4,3,3,60,90,14,12,Connie Vogelmann,Kwanchai Moriya,Animals; Science Fiction; Space Exploration
316,Star Realms: Frontiers,2018,7.91129,1.8936,Strategy Game(210),1,4,1,4,2,2,20,45,12,8,Robert Dougherty; Darwin Kastle,Antonis Papantoniou; Graphics Manufacture,Card Game; Fighting; Science Fiction
317,Turing Machine,2022,7.61979,2.5157,Strategy Game(234),1,4,1,3,1,1,20,20,14,12,Fabien Gridel; Yoann Levet,Sébastien Bizos,Deduction; Math; Spies / Secret Agents
318,Mind MGMT: The Psychic Espionage “Game.”,2021,7.80074,2.9205,Strategy Game(201),1,5,1,5,2,3,60,60,13,12,Jay Cormier; Sen-Foong Lim,Matt Kindt,Comic Book / Strip; Deduction; Spies / Secret Agents
319,Love Letter,2019,7.50579,1.1149,"Party Game(18), Family Game(69)",2,6,3,6,4,4,20,20,10,8,Seiji Kanai; Justin Kemppainen; Alexandar Ortloff-Tang,Andrew Bosley; Samuel R. Shimota,Card Game; Deduction; Renaissance
320,1960: The Making of the President,2007,7.61769,3.2045,Strategy Game(215),2,2,2,2,2,2,90,120,12,14,Christian Leonhard; Jason Matthews,Josh Cappel; Donal Hegarty; Christian Leonhard; Rodger B. MacGowan; Jason Matthews,Political; Wargame
321,Bora Bora,2013,7.55832,3.7247,Strategy Game(216),2,4,2,4,4,4,60,120,12,14,Stefan Feld,Alexander Jung,Dice
322,Lewis & Clark: The Expedition,2013,7.43517,3.3173,Strategy Game(237),1,5,1,4,3,3,120,120,14,12,Cédrick Chaboussit,Vincent Dutrait,Age of Reason; American West; Exploration
323,Battle Line,2000,7.4152,1.8892,Strategy Game(245),2,2,2,2,2,2,30,30,12,8,Reiner Knizia,Rodger B. MacGowan; Mark Simonitch,Ancient; Card Game
